"","HenID","Status","Age","Fate","CaptureDate","LastHeardDate","FateDate"
"1","H1","censored","juvenile",2,2011-04-16,2013-10-24,"2013-10-24"
"2","H10","mortality","adult",10,2011-03-30,2011-05-27,"2011-06-08"
"3","H100","mortality","adult",10,2011-04-17,2012-02-02,"2012-03-28"
"4","H1000","mortality","juvenile",5,2011-04-12,2012-03-28,"2012-04-25"
"5","H101","mortality","juvenile",5,2011-04-21,2011-04-29,"2011-04-29"
"6","H11","censored","adult",2,2011-03-30,2013-08-20,"2013-08-20"
"7","H12","censored","juvenile",2,2011-03-29,2015-07-16,"2015-07-16"
"8","H13","mortality","juvenile",3,2011-03-30,2011-04-26,"2011-04-29"
"9","H14","mortality","adult",6,2011-03-30,2012-04-16,"2012-04-21"
"10","H15","mortality","juvenile",3,2011-03-30,2011-12-08,"2012-02-02"
"11","H16","mortality","adult",4,2011-04-03,2011-09-08,"2011-11-09"
"12","H17","dropped collar","adult",8,2011-04-04,2011-04-13,"2011-04-23"
"13","H18","mortality","juvenile",10,2011-04-04,2013-08-20,"2013-10-23"
"14","H19","mortality","adult",4,2011-04-03,2013-07-19,"2013-07-24"
"15","H2","censored","juvenile",2,2011-04-16,2015-10-13,"2015-10-13"
"16","H20","mortality","adult",5,2011-04-04,2013-08-20,"2013-08-31"
"17","H200","censored","adult",2,2012-03-25,2014-12-04,"2014-12-04"
"18","H201","mortality","adult",3,2012-03-25,2012-04-25,"2012-05-01"
"19","H202","mortality","adult",3,2012-03-27,2013-07-07,"2013-07-09"
"20","H203","mortality","juvenile",5,2012-03-27,2012-04-24,"2012-05-09"
"21","H204","censored","juvenile",2,2012-03-28,2014-10-18,"2014-10-18"
"22","H205","mortality","juvenile",5,2012-03-28,2013-06-08,"2013-06-18"
"23","H206","mortality","adult",10,2012-03-28,2013-08-01,"2013-08-21"
"24","H207","mortality","adult",3,2012-03-30,2012-05-14,"2012-05-15"
"25","H208","censored","juvenile",2,2012-03-28,2014-10-18,"2014-10-18"
"26","H209","mortality","adult",5,2012-03-28,2013-12-14,"2014-02-20"
"27","H21","mortality","juvenile",10,2011-04-04,2012-06-27,"2012-07-29"
"28","H210","censored","adult",2,2012-03-28,2015-06-19,"2015-06-19"
"29","H211","censored","adult",2,2012-03-28,2014-02-20,"2014-02-20"
"30","H212","mortality","adult",10,2012-03-28,2012-08-10,"2012-10-05"
"31","H213","mortality","juvenile",5,2012-03-28,2013-08-20,"2013-10-23"
"32","H214","mortality","juvenile",10,2012-03-29,2013-08-01,"2013-08-20"
"33","H215","mortality","juvenile",5,2012-03-29,2012-06-06,"2012-06-18"
"34","H216","mortality","",10,2012-03-29,2013-07-31,"2013-08-20"
"35","H217","mortality","adult",4,2012-03-29,2012-03-29,"2012-04-10"
"36","H218","mortality","juvenile",10,2012-03-30,2012-04-23,"2012-05-08"
"37","H219","mortality","adult",3,2012-03-31,2012-11-14,"2013-01-14"
"38","H22","dropped collar","adult",8,2011-04-04,2012-06-27,"2012-06-29"
"39","H220","censored","adult",2,2012-03-31,2014-08-20,"2014-08-20"
"40","H221","mortality","adult",3,2012-03-31,2012-03-31,"2012-04-19"
"41","H222","censored","adult",2,2012-03-31,2014-10-18,"2014-10-18"
"42","H223","mortality","juvenile",3,2012-03-31,2013-06-09,"2013-06-11"
"43","H224","mortality","adult",10,2012-03-31,2012-04-24,"2012-06-27"
"44","H225","mortality","adult",5,2012-03-30,2012-08-10,"2012-10-04"
"45","H226","censored","juvenile",2,2012-04-03,2014-02-20,"2014-02-20"
"46","H227","censored","",2,2012-04-05,2014-08-20,"2014-08-20"
"47","H228","mortality","adult",4,2012-04-05,2013-03-16,"2013-04-17"
"48","H229","mortality","adult",5,2012-04-05,2012-06-25,"2012-10-04"
"49","H23","censored","adult",2,2011-04-04,2013-03-16,"2013-03-16"
"50","H230","mortality","juvenile",5,2012-04-05,2013-03-16,"2013-04-09"
"51","H231","censored","juvenile",2,2012-04-05,2014-10-18,"2014-10-18"
"52","H232","mortality","adult",3,2012-04-09,2012-11-14,"2013-01-14"
"53","H233","censored","adult",2,2012-04-09,2012-11-14,"2012-11-14"
"54","H234","censored","juvenile",2,2012-04-09,2013-03-16,"2013-03-16"
"55","H235","mortality","adult",4,2012-04-10,2012-06-21,"2012-06-25"
"56","H236","censored","adult",2,2012-04-10,2014-12-04,"2014-12-04"
"57","H237","censored","adult",2,2012-04-10,2014-04-20,"2014-04-20"
"58","H238","censored","juvenile",2,2012-04-10,2014-06-01,"2014-06-01"
"59","H239","mortality","adult",3,2012-04-11,2014-02-20,"2014-05-08"
"60","H24","mortality","adult",10,2011-04-21,2011-04-21,"2011-07-07"
"61","H240","mortality","adult",3,2012-04-11,2013-02-12,"2013-03-16"
"62","H241","mortality","juvenile",4,2012-04-12,2013-06-08,"2013-06-26"
"63","H242","mortality","juvenile",5,2012-04-12,2013-05-02,"2013-06-01"
"64","H243","mortality","juvenile",3,2012-04-12,2013-08-20,"2013-10-23"
"65","H244","mortality","juvenile",10,2012-04-09,2012-06-13,"2012-10-14"
"66","H245","mortality","juvenile",5,2012-04-12,2014-08-20,"2014-08-27"
"67","H246","mortality","juvenile",3,2012-04-16,2012-04-26,"2012-05-04"
"68","H247","mortality","adult",4,2012-04-16,2013-02-12,"2013-03-16"
"69","H248","mortality","adult",3,2012-04-17,2013-03-16,"2013-04-19"
"70","H249","censored","juvenile",2,2012-04-17,2012-06-17,"2012-06-17"
"71","H25","censored","adult",2,2011-04-21,2015-06-30,"2015-06-30"
"72","H250","mortality","adult",5,2012-04-17,2012-08-11,"2012-10-17"
"73","H251","mortality","adult",10,2012-04-17,2014-03-31,"2014-05-22"
"74","H252","mortality","juvenile",4,2012-04-17,2013-08-20,"2013-11-06"
"75","H253","mortality","juvenile",10,2012-04-17,2014-02-20,"2014-05-02"
"76","H254","censored","adult",2,2012-08-09,2015-05-02,"2015-05-02"
"77","H255","mortality","juvenile",4,2012-08-09,2012-08-09,"2012-10-04"
"78","H256","mortality","",4,2012-08-10,2013-03-16,"2013-04-18"
"79","H257","mortality","",5,2012-08-11,2013-07-12,"2013-07-18"
"80","H258","censored","juvenile",2,2012-09-05,2012-10-05,"2012-10-05"
"81","H259","mortality","juvenile",3,2012-09-05,2014-07-02,"2014-09-29"
"82","H26","censored","juvenile",2,2011-04-21,2013-12-14,"2013-12-14"
"83","H260","mortality","juvenile",3,2012-09-05,2012-09-05,"2012-10-14"
"84","H261","mortality","juvenile",10,2012-09-05,2013-12-14,"2014-02-20"
"85","H262","mortality","juvenile",3,2012-09-09,2012-11-13,"2013-01-14"
"86","H263","censored","juvenile",2,2012-09-09,2015-03-26,"2015-03-26"
"87","H264","mortality","adult",10,2012-09-10,2014-08-18,"2014-09-29"
"88","H265","mortality","adult",3,2012-09-10,2014-08-20,"2014-09-29"
"89","H266","mortality","adult",3,2012-09-10,2013-12-14,"2014-02-20"
"90","H27","mortality","adult",10,2011-04-21,2012-10-05,"2012-11-13"
"91","H28","mortality","adult",4,2011-04-20,2012-05-02,"2012-05-13"
"92","H29","mortality","adult",10,2011-04-16,2013-08-20,"2013-08-30"
"93","H3","mortality","juvenile",10,2011-04-16,2011-11-09,"2011-11-17"
"94","H30","mortality","juvenile",3,2011-03-31,2012-04-26,"2012-04-27"
"95","H300","censored","juvenile",2,2013-03-19,2015-10-13,"2015-10-13"
"96","H301","censored","adult",2,2013-03-20,2015-07-11,"2015-07-11"
"97","H302","censored","adult",2,2013-03-21,2013-03-21,"2013-03-21"
"98","H303","mortality","juvenile",3,2013-03-21,2014-09-30,"2014-10-18"
"99","H304","mortality","adult",5,2013-04-01,2014-04-23,"2014-08-18"
"100","H305","censored","adult",2,2013-04-01,2015-10-13,"2015-10-13"
"101","H306","censored","juvenile",2,2013-04-02,2015-07-03,"2015-07-03"
"102","H307","mortality","adult",5,2013-04-02,2016-08-25,"2016-09-19"
"103","H308","mortality","juvenile",10,2013-03-29,2014-08-18,"2014-09-30"
"104","H309","mortality","adult",3,2013-03-29,2014-08-18,"2014-09-30"
"105","H31","mortality","juvenile",10,2011-03-30,2011-07-03,"2011-08-03"
"106","H310","censored","adult",2,2013-03-29,2015-05-18,"2015-05-18"
"107","H311","censored","",2,2013-03-27,2015-06-07,"2015-06-07"
"108","H312","censored","adult",2,2013-03-27,2015-07-16,"2015-07-16"
"109","H313","mortality","adult",10,2013-03-27,2014-08-20,"2014-09-29"
"110","H314","mortality","juvenile",10,2013-03-27,2013-07-10,"2013-07-18"
"111","H315","censored","juvenile",2,2013-03-30,2014-02-20,"2014-02-20"
"112","H316","mortality","adult",3,2013-04-04,2014-09-29,"2014-10-18"
"113","H317","censored","juvenile",2,2013-04-04,2015-02-12,"2015-02-12"
"114","H318","censored","juvenile",2,2013-04-03,2015-03-26,"2015-03-26"
"115","H319","censored","adult",2,2013-04-03,2016-04-13,"2016-04-13"
"116","H32","censored","adult",2,2011-04-16,2015-05-01,"2015-05-01"
"117","H320","mortality","adult",3,2013-04-03,2014-08-20,"2014-09-30"
"118","H321","censored","juvenile",2,2013-08-15,2014-10-18,"2014-10-18"
"119","H322","mortality","juvenile",3,2013-09-05,2013-12-14,"2014-02-20"
"120","H323","mortality","juvenile",10,2013-09-05,2013-09-05,"2013-10-24"
"121","H324","mortality","juvenile",10,2013-09-05,2014-02-20,"2014-03-31"
"122","H33","mortality","adult",3,2011-04-16,2013-01-14,"2013-02-12"
